"identifiant";"titre";"genre";"pays";"entrees";"titre_fr";"reboot"
19468;"Un jour de pluie à New York";"Comédie dramatique";"Etats-Unis";585166;FALSE;FALSE
19636;"Un monde plus grand";"Drame";"France";297909;TRUE;FALSE
19750;"Un petit air de famille";"Animation";"France";50049;TRUE;FALSE
19224;"Un Tramway à Jérusalem";"Comédie dramatique";"Israël";23420;FALSE;FALSE
17572;"Undercover - Une histoire vraie";"Thriller";"Etats-Unis";83379;FALSE;FALSE
18721;"Une femme d'exception";"Drame";"Etats-Unis";91175;FALSE;FALSE
19593;"Une fille facile";"Comédie dramatique";"France";83583;TRUE;FALSE
19569;"Une Grande fille";"Drame";"Russie";79049;FALSE;FALSE
18928;"Une intime conviction";"Drame";"France";402470;TRUE;FALSE
19480;"Une part d'ombre";"Thriller";"Belgique";25112;TRUE;FALSE
19742;"Une vie cachée";"Drame";"Etats-Unis";202799;FALSE;FALSE
18839;"Us";"Thriller";"Etats-Unis";702985;TRUE;FALSE
19018;"Venise n'est pas en Italie";"Comédie";"France";515227;TRUE;FALSE
19947;"Vic le Viking";"Animation 3D";"Allemagne";267500;FALSE;FALSE
18747;"Vice";"Drame";"Etats-Unis";319085;TRUE;FALSE
19315;"Victor et Célia";"Comédie";"France";100312;TRUE;FALSE
19553;"Vita & Virginia";"Drame";"Royaume-Uni";63833;TRUE;FALSE
19089;"Walter";"Comédie";"France";375010;TRUE;FALSE
19515;"Wedding Nightmare";"Horreur";"Etats-Unis";473134;FALSE;FALSE
19552;"Wild Rose";"Musical";"Royaume-Uni";92783;TRUE;FALSE
19555;"Wonderland, le royaume sans pluie";"Animation";"Japon";81316;FALSE;FALSE
17531;"X-Men: Dark Phoenix";"Comicbook";"Etats-Unis";1403901;TRUE;FALSE
18819;"YAO";"Comédie dramatique";"France";408689;TRUE;FALSE
19438;"Yesterday";"Comédie";"Royaume-Uni";678617;TRUE;FALSE
19082;"Yuli";"Comédie dramatique";"Espagne";131650;TRUE;FALSE
19506;"Yves";"Comédie";"France";60154;TRUE;FALSE
19836;"Zébulon, le dragon";"Animation";"Royaume-Uni";103247;TRUE;FALSE
20085;"Zibilla ou la vie zébrée";"Animation";"France";27161;TRUE;FALSE
19489;"Zombi Child";"Drame";"France";28911;TRUE;FALSE
